accession,sample_name,read_count,location,site,field_campaign,conductivity,pH,alkalinity,hardness,sodium,magnesium,calcium,potassium,chloride,nitrate,sulfate,ammonium,phosphate,total_phosphorus,silicic_acid,total_inorganic_carbon,1.14.12.7,1.14.12.17,"1.14.12.1,1.14.13.172","1.14.12.1,1.14.12.15,1.14.13.172",1.14.12.10,"1.14.12.7,1.14.13.82","1.14.12.1,1.14.12.15",rate_constants
SAMN37257414,oli_dw3_2,86775621,Oli,dw,1,824.0,8.25,2.383,5.058,2.337,23.51,164.419,3.344,3.026,0.593,373.1,15.2,3.875,6.6,9.398,28.596,4.76,0.23,11.36,0.44,0.64,2.07,0.0,0.0035419197696807
SAMN37257418,kol_up1_1,136116313,Kol,up,2,435.6,8.43,4.817,2.592,5.431,16.265,74.862,1.224,7.623,2.013,12.119,11.6,26.5,40.9,18.281,57.804,0.36,0.22,0.51,0.0,1.06,1.29,0.0,0.0010975053714356
SAMN37257419,kol_up1_2,123524453,Kol,up,2,435.6,8.43,4.817,2.592,5.431,16.265,74.862,1.224,7.623,2.013,12.119,11.6,26.5,40.9,18.281,57.804,0.74,0.13,0.8799999999999999,0.0,0.49,2.05,0.0,
SAMN37257420,kol_up2_1,113529121,Kol,up,2,434.2,8.42,4.802,2.575,5.43,16.377,74.617,1.131,7.648,2.03,12.111,13.4,25.75,43.95,18.254,57.624,0.42,0.5,0.87,0.0,1.0,1.6800000000000002,0.0,
SAMN37257421,air_up1_2,94322588,Air,up,1,344.5,7.94,1.182,1.843,1.505,8.555,57.382,2.118,1.249,0.247,126.7,11.2,1.75,5.6,6.734,14.184,43.120000000000005,7.71,34.01,3.56,7.18,74.08,0.0,0.0021292905549294
SAMN37257422,kol_up2_2,136255541,Kol,up,2,434.2,8.42,4.802,2.575,5.43,16.377,74.617,1.131,7.648,2.03,12.111,13.4,25.75,43.95,18.254,57.624,0.64,0.27,1.27,0.0,1.6900000000000002,1.1,0.08,0.0010975053714356
SAMN37257423,kol_dw1_1,83552574,Kol,dw,2,584.3,8.17,4.455,2.69,28.643,16.373,78.711,5.172,40.343,8.232,26.87,13.6,128.75,153.75,19.234,53.46,0.83,0.62,0.72,0.0,0.65,1.5,0.0,0.0010975053714356
SAMN37257424,kol_dw1_2,51399366,Kol,dw,2,584.3,8.17,4.455,2.69,28.643,16.373,78.711,5.172,40.343,8.232,26.87,13.6,128.75,153.75,19.234,53.46,1.88,1.08,1.27,0.0,0.0,1.04,0.0,0.0012010266099869
SAMN37257425,kol_dw2_1,145659020,Kol,dw,2,543.2,8.36,4.585,2.678,22.278,16.316,78.456,4.056,31.592,6.448,22.686,9.9,96.625,120.95,18.784,55.02,0.2,0.24,0.12,0.0,0.34,0.33,0.0,0.0015146673160908
SAMN37257426,kol_dw2_2,96593923,Kol,dw,2,543.2,8.36,4.585,2.678,22.278,16.316,78.456,4.056,31.592,6.448,22.686,9.9,96.625,120.95,18.784,55.02,0.6499999999999999,0.41,0.41000000000000003,0.0,1.1600000000000001,1.0899999999999999,0.0,0.0144954509048602
SAMN37257427,kol_dw3_1,102431010,Kol,dw,2,534.9,8.42,4.59,2.666,21.228,16.224,77.582,3.88,30.195,6.201,22.052,9.9,93.125,114.7,18.621,55.08,0.04,0.34,0.11,0.0,0.26,5.72,0.0,0.0010975053714356
SAMN37257428,kol_dw3_2,106032284,Kol,dw,2,534.9,8.42,4.59,2.666,21.228,16.224,77.582,3.88,30.195,6.201,22.052,9.9,93.125,114.7,18.621,55.08,0.14,0.2,0.53,0.0,0.28,7.4399999999999995,0.0,0.0010975053714356
SAMN37257432,air_up2_1,84746376,Air,up,1,668.9,8.05,1.308,3.846,4.346,19.22,120.969,2.663,6.576,0.319,318.1,3.1,1.625,31.5,6.784,15.696,6.78,0.13,28.55,8.15,0.54,18.630000000000003,0.0,0.004449825790135
SAMN37257433,bir_up1_1,106614294,Bir,up,2,526.1,8.27,5.224,2.813,16.933,25.715,69.234,1.899,29.93,1.151,11.965,12.3,3.25,11.77,6.775,62.688,0.0,0.11,0.33,0.0,0.9199999999999999,0.37,0.0,0.0010975053714356
SAMN37257434,bir_up1_2,118488849,Bir,up,2,526.1,8.27,5.224,2.813,16.933,25.715,69.234,1.899,29.93,1.151,11.965,12.3,3.25,11.77,6.775,62.688,0.25,0.06,0.47,0.0,1.45,0.0,0.0,0.0011079159795441
SAMN37257435,bir_up2_1,121417320,Bir,up,2,530.1,8.38,5.004,2.776,19.46,22.95,71.719,2.348,32.441,1.609,19.897,12.0,2.625,10.01,6.963,60.048,0.04,0.13,0.17,0.0,0.71,0.16,0.0,0.0010975053714356
