,EC,p_value,adjusted_p_value,mean_1,std_1,median_1,mean_0,std_0,median_0,delta_mean,delta_median
4514,2.7.1.44,0.0013829241897068735,0.046541541943273396,0.16454545454545455,0.2235402602080536,0.0,0.02142857142857143,0.1138025500951682,0.0,0.14311688311688311,0.0
4515,"2.7.1.44,3.1.4.1,3.6.1.9",0.0013729369002573588,0.0464241506222662,0.5627272727272726,0.5610394721017393,0.28,0.07204081632653062,0.14046540124269885,0.0,0.49068645640074204,0.28
4533,"2.7.1.5,2.7.1.51,5.3.1.14",0.0007290346650876019,0.03198833485270015,0.8136363636363636,0.42980487596694233,0.8300000000000001,0.33387755102040817,0.5321340030961612,0.13,0.47975881261595543,0.7000000000000001
4567,"2.7.1.72,2.7.1.89",0.0013648741173390496,0.0464241506222662,0.8736363636363638,0.5437123692687779,0.75,0.3622448979591837,0.49988678435006334,0.19,0.5113914656771801,0.56
4585,"2.7.1.87,2.7.1.95,2.7.4.3,6.3.4.4",6.750385882418504e-07,0.000821112927611756,1.0027272727272727,0.7819101425831362,0.81,0.04551020408163265,0.12999311166192687,0.0,0.95721706864564,0.81
4608,"2.7.10.2,2.7.11.25",0.0009198358952206571,0.037938631498376,0.32636363636363636,0.41288943550351737,0.17,0.037551020408163265,0.09047562784337361,0.0,0.2888126159554731,0.17
4653,"2.7.11.1,3.1.1.1,3.4.16.4",0.0002456342873449484,0.016354789618496672,0.06636363636363636,0.10271520443994889,0.0,0.0028571428571428576,0.01979486637221574,0.0,0.0635064935064935,0.0
4672,"2.7.11.1,3.2.1.4,3.2.1.80,3.4.24.40",3.3348446178984086e-05,0.005501826650608795,0.07,0.08852323783258065,0.04,0.011020408163265306,0.029014064004159852,0.0,0.0589795918367347,0.04
4683,"2.7.11.1,3.4.21.107,3.5.1.28",0.0009678361643431097,0.03879643665387715,1.5872727272727274,1.3752559491308645,1.15,0.9224489795918368,2.3539584816031063,0.42,0.6648237476808906,0.73
4689,"2.7.11.1,3.5.1.124",0.0003236345921816657,0.01880043486553916,1.9863636363636366,1.1534396995490783,2.3899999999999997,0.6622448979591836,0.8679773939173302,0.26,1.324118738404453,2.13
4701,"2.7.11.1,4.6.1.1",0.001060603333494629,0.040504244898135165,0.8190909090909092,0.8003914331631691,0.62,0.24693877551020404,0.6073099067051138,0.0,0.5721521335807052,0.62
4885,"2.7.7.13,2.7.7.33,2.7.7.71",1.651541856364981e-05,0.003892448220901351,0.08090909090909092,0.14884125438958268,0.0,0.0,0.0,0.0,0.08090909090909092,0.0
4950,2.7.7.47,0.0010164227402662735,0.03989832239772748,36.012727272727275,11.960019831930266,36.21,25.619183673469387,32.83784655973272,19.82,10.393543599257889,16.39
5001,"2.7.7.7,3.1.3.3",0.00024584724362875345,0.016354789618496672,0.03727272727272727,0.05528289380185736,0.0,0.001836734693877551,0.012725271239281548,0.0,0.03543599257884972,0.0
5125,"2.7.8.7,4.2.1.136",0.00014045844682812378,0.013793353903395155,1.4254545454545453,1.480800542927333,0.73,0.22244897959183674,0.35147810691679776,0.0,1.2030055658627086,0.73
5126,"2.7.8.7,4.3.1.14",7.358354326965728e-05,0.008671294977591469,0.32363636363636367,0.3070763223835322,0.22,0.05326530612244898,0.14141252080785782,0.0,0.27037105751391466,0.22
5150,"2.8.1.12,4.6.1.17",8.782705244673292e-06,0.003892448220901351,0.33272727272727276,0.5213634382182393,0.16,0.028367346938775507,0.0968556034175072,0.0,0.30435992578849724,0.16
5196,"2.8.3.12,2.8.3.5",0.0007992942363544576,0.034340511227541254,7.094545454545454,5.1472770623918045,6.25,2.088163265306122,1.748146159150488,1.69,5.006382189239332,4.5600000000000005
5247,"3.1.1.101,3.1.1.45,3.2.1.23,3.2.1.97",4.923205154827941e-05,0.006768586553695948,0.49272727272727274,0.7503101287175845,0.05,0.026122448979591838,0.1428545189263398,0.0,0.4666048237476809,0.05
5266,"3.1.1.17,3.2.1.4",9.585368911143537e-05,0.010802899263899246,0.4572727272727273,0.3816969504508401,0.42000000000000004,0.050204081632653066,0.179141829524489,0.0,0.4070686456400742,0.42000000000000004
5381,3.1.2.27,0.0006420815505584419,0.029262600610809875,0.3845454545454545,0.3641019746360685,0.3,0.06857142857142857,0.17519668247721018,0.0,0.31597402597402596,0.3
5443,"3.1.3.1,3.1.3.5,3.1.3.6,3.1.4.16,3.6.1.45",0.001347014574527029,0.046105905499060004,0.8636363636363636,0.7231279621109785,0.72,0.33979591836734696,0.7197037082983818,0.07,0.5238404452690166,0.6499999999999999
5455,"3.1.3.1,3.2.1.17",4.4473322676069925e-05,0.006670189795543651,0.14636363636363636,0.16837580949513054,0.06,0.015714285714285712,0.04944590942821937,0.0,0.13064935064935065,0.06
5574,"3.1.3.48,3.1.4.53",8.887971082441129e-07,0.000916460918238211,0.14181818181818182,0.1151140289861383,0.1,0.017142857142857144,0.04285714285714286,0.0,0.12467532467532468,0.1
5594,"3.1.3.5,3.5.2.6,3.6.1.45",1.0492580581729755e-05,0.003892448220901351,0.27545454545454545,0.20137543573063343,0.28,0.03,0.07326217945690335,0.0,0.24545454545454545,0.28
5654,"3.1.3.97,3.6.4.12",0.0012744292775172697,0.04511917214695261,0.20181818181818184,0.14559084523030985,0.19,0.06326530612244897,0.09611616600636666,0.03,0.13855287569573288,0.16
5703,"3.1.4.46,3.6.1.27",0.0002220850698870011,0.015424406237173782,0.05363636363636364,0.09402830591927937,0.0,0.0,0.0,0.0,0.05363636363636364,0.0
5713,3.1.4.56,0.000973555871905997,0.03879643665387715,0.03727272727272728,0.04730767938639159,0.0,0.012244897959183673,0.05511640024538972,0.0,0.025027829313543602,0.0
