compound,EC,ro,p_value,adjusted_p_value
Mesotrione,"6.2.1.12,6.2.1.3",0.6932208860351494,8.329422404197234e-10,1.3860448654402003e-08
Mesotrione,5.3.1.28,0.6692319384910624,5.051559697875642e-09,7.156061844221504e-08
Mesotrione,"2.7.1.11,2.7.1.90",0.6480855968691451,2.169281369631265e-08,1.8410108459301796e-07
Mesotrione,1.1.1.27,0.7228107498365135,6.987873915317843e-11,1.4253461888992667e-09
Mesotrione,1.2.3.15,0.3463135551638703,0.006717461556988896,0.01726682454233806
Mesotrione,3.7.1.22,0.7930539197667951,4.2554323972908084e-14,3.914481370819054e-12
Mesotrione,"1.10.2.2,1.10.9.1",0.3030403459247113,0.018592672111219063,0.040959278578803895
Mesotrione,2.1.1.104,0.7294364889337925,3.839309300621938e-11,8.299373262150054e-10
Mesotrione,5.3.3.18,0.607294565952856,2.6793587303013565e-07,1.7491952151203647e-06
Mesotrione,3.1.1.85,0.6658139390034845,6.4440660665778625e-09,8.964206388259009e-08
Mesotrione,3.4.11.4,0.6649979621352423,6.82652418309358e-09,9.445179289001924e-08
Mesotrione,3.1.3.10,0.6813982890367389,2.0682351194196013e-09,3.1489296517353675e-08
Mesotrione,2.8.1.8,0.7018715128632657,4.163938878742275e-10,7.308966730538704e-09
Mesotrione,1.1.1.292,0.7120110009786763,1.7892652121333058e-10,3.353093065582615e-09
Mesotrione,2.7.7.99,0.7403735703837738,1.3736381387007326e-11,3.43217668344204e-10
Mesotrione,3.4.23.36,0.7452200048899349,8.56839366539517e-12,2.2847699848705122e-10
Mesotrione,3.1.1.57,0.6732117388032052,3.789312286396026e-09,5.486647897070666e-08
Mesotrione,"2.3.1.40,6.2.1.20",0.6081030496177681,2.5578614679788835e-07,1.676317885281516e-06
Mesotrione,"2.1.1.226,2.1.1.227",0.6281419082882387,7.759226188714242e-08,5.636406215435146e-07
Mesotrione,2.1.1.193,0.6555035791564278,1.3181577541233767e-08,1.1745683756869665e-07
Mesotrione,2.1.1.177,0.6923185201608446,8.941739003784393e-10,1.478932577452957e-08
Mesotrione,1.14.13.1,0.7531665702486707,3.86090039385671e-12,1.1521018932109724e-10
Mesotrione,4.2.3.5,0.6396932627133244,3.750536013085304e-08,2.8762802577547277e-07
Mesotrione,1.6.5.8,0.7236613934700873,6.476970589104185e-11,1.3239580154299765e-09
Mesotrione,"2.1.3.2,3.5.2.3,4.2.99.18,6.3.5.5",0.4549497648532453,0.0002601738859622174,0.0009509406691154632
Mesotrione,"2.5.1.3,2.7.1.35,2.7.1.49,2.7.4.7,4.1.99.17",0.34422524754964073,0.007078889375130923,0.018079265389164743
Mesotrione,3.2.1.97,0.8382792538485134,6.517679712193408e-17,2.2890111955862393e-14
Mesotrione,"4.4.1.1,4.4.1.2,4.4.1.8",0.4645811942233544,0.00018443674331634024,0.0006949764235111726
Mesotrione,"2.7.1.16,2.7.1.47",0.7157117275802843,1.3027585764025332e-10,2.5017853920150135e-09
Mesotrione,"1.1.1.132,1.1.1.22",0.7125975266334981,1.702066507286008e-10,3.2033238165992513e-09
Mesotrione,3.6.3.9,0.40119136015209783,0.0014888537584195856,0.004562983959379966
Mesotrione,"3.6.3.25,3.6.3.29",0.3368835913387613,0.008487942996956304,0.021195485674951255
Mesotrione,3.5.1.52,0.3463135551638703,0.006717461556988896,0.01726682454233806
Mesotrione,1.5.8.3,0.4346206628205031,0.0005206091666283898,0.0017781583698374672
Mesotrione,"2.4.1.11,2.4.1.345",0.4580071000378363,0.00023351347390215642,0.0008618369082506336
Mesotrione,"1.14.18.5,1.14.19.17",0.7622857190188153,1.4892833406614179e-12,4.9683004284801056e-11
Mesotrione,3.5.5.7,0.6657575711296324,6.469820316196433e-09,8.997188438324817e-08
Mesotrione,1.3.1.38,0.5009649385504914,4.5668829994025776e-05,0.00019513493008176618
Mesotrione,4.2.1.136,0.5190805208189508,2.1439793151819548e-05,9.762794250386282e-05
Mesotrione,5.5.1.1,0.6723548018502861,4.032810256277472e-09,5.810156772249629e-08
